grade,level,number,pack_id,topic,topic_slug,topic_group,status,notes
G1,GT,0001,g1_gt_0001,School Topic 01,gt-school-01,school,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0002,g1_gt_0002,Classroom Topic 01,gt-classroom-01,classroom,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0003,g1_gt_0003,Family Topic 01,gt-family-01,family,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0004,g1_gt_0004,Home Topic 01,gt-home-01,home,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0005,g1_gt_0005,Weather Topic 01,gt-weather-01,weather,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0006,g1_gt_0006,Animals Topic 01,gt-animals-01,animals,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0007,g1_gt_0007,Food Topic 01,gt-food-01,food,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0008,g1_gt_0008,Play Topic 01,gt-play-01,play,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0009,g1_gt_0009,Community Topic 01,gt-community-01,community,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0010,g1_gt_0010,Nature Topic 01,gt-nature-01,nature,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0011,g1_gt_0011,School Topic 02,gt-school-02,school,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0012,g1_gt_0012,Classroom Topic 02,gt-classroom-02,classroom,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0013,g1_gt_0013,Family Topic 02,gt-family-02,family,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0014,g1_gt_0014,Home Topic 02,gt-home-02,home,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0015,g1_gt_0015,Weather Topic 02,gt-weather-02,weather,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0016,g1_gt_0016,Animals Topic 02,gt-animals-02,animals,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0017,g1_gt_0017,Food Topic 02,gt-food-02,food,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0018,g1_gt_0018,Play Topic 02,gt-play-02,play,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0019,g1_gt_0019,Community Topic 02,gt-community-02,community,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0020,g1_gt_0020,Nature Topic 02,gt-nature-02,nature,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0021,g1_gt_0021,School Topic 03,gt-school-03,school,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0022,g1_gt_0022,Classroom Topic 03,gt-classroom-03,classroom,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0023,g1_gt_0023,Family Topic 03,gt-family-03,family,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0024,g1_gt_0024,Home Topic 03,gt-home-03,home,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0025,g1_gt_0025,Weather Topic 03,gt-weather-03,weather,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0026,g1_gt_0026,Animals Topic 03,gt-animals-03,animals,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0027,g1_gt_0027,Food Topic 03,gt-food-03,food,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0028,g1_gt_0028,Play Topic 03,gt-play-03,play,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0029,g1_gt_0029,Community Topic 03,gt-community-03,community,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0030,g1_gt_0030,Nature Topic 03,gt-nature-03,nature,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0031,g1_gt_0031,School Topic 04,gt-school-04,school,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0032,g1_gt_0032,Classroom Topic 04,gt-classroom-04,classroom,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0033,g1_gt_0033,Family Topic 04,gt-family-04,family,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0034,g1_gt_0034,Home Topic 04,gt-home-04,home,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0035,g1_gt_0035,Weather Topic 04,gt-weather-04,weather,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0036,g1_gt_0036,Animals Topic 04,gt-animals-04,animals,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0037,g1_gt_0037,Food Topic 04,gt-food-04,food,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0038,g1_gt_0038,Play Topic 04,gt-play-04,play,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0039,g1_gt_0039,Community Topic 04,gt-community-04,community,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0040,g1_gt_0040,Nature Topic 04,gt-nature-04,nature,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0041,g1_gt_0041,School Topic 05,gt-school-05,school,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0042,g1_gt_0042,Classroom Topic 05,gt-classroom-05,classroom,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0043,g1_gt_0043,Family Topic 05,gt-family-05,family,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0044,g1_gt_0044,Home Topic 05,gt-home-05,home,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0045,g1_gt_0045,Weather Topic 05,gt-weather-05,weather,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0046,g1_gt_0046,Animals Topic 05,gt-animals-05,animals,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0047,g1_gt_0047,Food Topic 05,gt-food-05,food,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0048,g1_gt_0048,Play Topic 05,gt-play-05,play,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0049,g1_gt_0049,Community Topic 05,gt-community-05,community,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0050,g1_gt_0050,Nature Topic 05,gt-nature-05,nature,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0051,g1_gt_0051,School Topic 06,gt-school-06,school,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0052,g1_gt_0052,Classroom Topic 06,gt-classroom-06,classroom,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0053,g1_gt_0053,Family Topic 06,gt-family-06,family,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0054,g1_gt_0054,Home Topic 06,gt-home-06,home,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0055,g1_gt_0055,Weather Topic 06,gt-weather-06,weather,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0056,g1_gt_0056,Animals Topic 06,gt-animals-06,animals,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0057,g1_gt_0057,Food Topic 06,gt-food-06,food,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0058,g1_gt_0058,Play Topic 06,gt-play-06,play,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0059,g1_gt_0059,Community Topic 06,gt-community-06,community,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0060,g1_gt_0060,Nature Topic 06,gt-nature-06,nature,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0061,g1_gt_0061,School Topic 07,gt-school-07,school,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0062,g1_gt_0062,Classroom Topic 07,gt-classroom-07,classroom,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0063,g1_gt_0063,Family Topic 07,gt-family-07,family,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0064,g1_gt_0064,Home Topic 07,gt-home-07,home,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0065,g1_gt_0065,Weather Topic 07,gt-weather-07,weather,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0066,g1_gt_0066,Animals Topic 07,gt-animals-07,animals,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0067,g1_gt_0067,Food Topic 07,gt-food-07,food,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0068,g1_gt_0068,Play Topic 07,gt-play-07,play,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0069,g1_gt_0069,Community Topic 07,gt-community-07,community,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0070,g1_gt_0070,Nature Topic 07,gt-nature-07,nature,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0071,g1_gt_0071,School Topic 08,gt-school-08,school,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0072,g1_gt_0072,Classroom Topic 08,gt-classroom-08,classroom,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0073,g1_gt_0073,Family Topic 08,gt-family-08,family,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0074,g1_gt_0074,Home Topic 08,gt-home-08,home,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0075,g1_gt_0075,Weather Topic 08,gt-weather-08,weather,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0076,g1_gt_0076,Animals Topic 08,gt-animals-08,animals,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0077,g1_gt_0077,Food Topic 08,gt-food-08,food,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0078,g1_gt_0078,Play Topic 08,gt-play-08,play,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0079,g1_gt_0079,Community Topic 08,gt-community-08,community,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0080,g1_gt_0080,Nature Topic 08,gt-nature-08,nature,planned,Replace placeholder topic text with reviewed content before student release.
G1,GT,0081,g1_gt_0081,School Topic 09,gt-school-09,school,planned,Replace placeholder topic text with reviewed content before student release.
